Pkg count,Package names,Imported name,Imported signature
31,"bcrypt, bignum, bufferutil, canvas, couchbase, deasync, ffi, fibers, hiredis, iconv, images, kerberos, lame, leveldown, libxmljs, lwip, microtime, midi, mmmagic, node-hid, node-sass, nodegit, protagonist, ref, serialport, speaker, sqlite3, usage, utf-8-validate, websocket, zmq",node_module_register,node_module_register
31,"bcrypt, bignum, bufferutil, canvas, couchbase, deasync, ffi, fibers, hiredis, iconv, images, kerberos, lame, leveldown, libxmljs, lwip, microtime, midi, mmmagic, node-hid, node-sass, nodegit, protagonist, ref, serialport, speaker, sqlite3, usage, utf-8-validate, websocket, zmq",v8::Isolate::GetCurrent,public: static class v8::Isolate * __ptr64 __cdecl v8::Isolate::GetCurrent(void)
30,"bcrypt, bignum, bufferutil, canvas, couchbase, deasync, ffi, fibers, hiredis, iconv, images, kerberos, lame, leveldown, libxmljs, lwip, microtime, midi, mmmagic, node-hid, node-sass, nodegit, protagonist, ref, serialport, speaker, sqlite3, utf-8-validate, websocket, zmq",v8::HandleScope::~HandleScope,public: __cdecl v8::HandleScope::~HandleScope(void) __ptr64
30,"bcrypt, bignum, bufferutil, canvas, couchbase, deasync, ffi, fibers, hiredis, iconv, images, kerberos, lame, leveldown, libxmljs, lwip, microtime, midi, mmmagic, node-hid, node-sass, nodegit, protagonist, ref, serialport, speaker, sqlite3, utf-8-validate, websocket, zmq",v8::HandleScope::CreateHandle,"protected: static class v8::internal::Object * __ptr64 * __ptr64 __cdecl v8::HandleScope::CreateHandle(class v8::internal::Isolate * __ptr64,class v8::internal::Object * __ptr64)"
30,"bcrypt, bignum, bufferutil, canvas, couchbase, deasync, ffi, fibers, hiredis, iconv, images, kerberos, lame, leveldown, libxmljs, lwip, microtime, midi, mmmagic, node-hid, node-sass, nodegit, protagonist, ref, serialport, speaker, sqlite3, utf-8-validate, websocket, zmq",v8::Isolate::GetCurrentContext,public: class v8::Local<class v8::Context> __cdecl v8::Isolate::GetCurrentContext(void) __ptr64
30,"bcrypt, bignum, bufferutil, canvas, couchbase, deasync, ffi, fibers, hiredis, iconv, images, kerberos, lame, leveldown, libxmljs, lwip, microtime, midi, mmmagic, node-hid, node-sass, nodegit, protagonist, ref, serialport, speaker, sqlite3, utf-8-validate, websocket, zmq",v8::ObjectTemplate::SetInternalFieldCount,public: void __cdecl v8::ObjectTemplate::SetInternalFieldCount(int) __ptr64
30,"bcrypt, bignum, bufferutil, canvas, couchbase, deasync, ffi, hiredis, iconv, images, kerberos, lame, leveldown, libxmljs, lwip, microtime, midi, mmmagic, node-hid, node-sass, nodegit, protagonist, ref, serialport, speaker, sqlite3, usage, utf-8-validate, websocket, zmq",v8::String::NewFromUtf8,"public: static class v8::MaybeLocal<class v8::String> __cdecl v8::String::NewFromUtf8(class v8::Isolate * __ptr64,char const * __ptr64,enum v8::NewStringType,int)"
30,"bcrypt, bignum, bufferutil, canvas, couchbase, deasync, ffi, hiredis, iconv, images, kerberos, lame, leveldown, libxmljs, lwip, microtime, midi, mmmagic, node-hid, node-sass, nodegit, protagonist, ref, serialport, speaker, sqlite3, usage, utf-8-validate, websocket, zmq",v8::V8::ToLocalEmpty,private: static void __cdecl v8::V8::ToLocalEmpty(void)
29,"bcrypt, bignum, bufferutil, canvas, couchbase, deasync, ffi, hiredis, iconv, images, kerberos, lame, leveldown, libxmljs, lwip, microtime, midi, mmmagic, node-hid, node-sass, nodegit, protagonist, ref, serialport, speaker, sqlite3, utf-8-validate, websocket, zmq",v8::EscapableHandleScope::EscapableHandleScope,public: __cdecl v8::EscapableHandleScope::EscapableHandleScope(class v8::Isolate * __ptr64) __ptr64
29,"bcrypt, bignum, bufferutil, canvas, couchbase, deasync, ffi, hiredis, iconv, images, kerberos, lame, leveldown, libxmljs, lwip, microtime, midi, mmmagic, node-hid, node-sass, nodegit, protagonist, ref, serialport, speaker, sqlite3, utf-8-validate, websocket, zmq",v8::EscapableHandleScope::Escape,private: class v8::internal::Object * __ptr64 * __ptr64 __cdecl v8::EscapableHandleScope::Escape(class v8::internal::Object * __ptr64 * __ptr64) __ptr64
